,Open,High,Low,Close,Adj Close,Volume
2022-07-10 18:00:00,20902.4921875,20903.783203125,20801.203125,20818.818359375,20818.818359375,0.0
2022-07-10 19:00:00,20838.26953125,20880.65625,20776.408203125,20880.65625,20880.65625,0.0
2022-07-10 20:00:00,20886.091796875,20957.72265625,20856.84765625,20953.48046875,20953.48046875,345751552.0
2022-07-10 21:00:00,20971.771484375,21128.482421875,20971.771484375,21043.58203125,21043.58203125,0.0
2022-07-10 22:00:00,21045.32421875,21045.32421875,20758.05078125,20845.08984375,20845.08984375,604377088.0
2022-07-10 23:00:00,20838.892578125,20862.572265625,20787.4296875,20862.572265625,20862.572265625,0.0
2022-07-11 00:00:00,20856.353515625,20856.353515625,20717.095703125,20810.26171875,20810.26171875,0.0
2022-07-11 01:00:00,20808.5546875,20808.5546875,20583.5859375,20590.1484375,20590.1484375,0.0
2022-07-11 02:00:00,20589.451171875,20589.451171875,20497.630859375,20547.79296875,20547.79296875,0.0
2022-07-11 03:00:00,20549.490234375,20636.90625,20538.37109375,20545.46484375,20545.46484375,0.0
2022-07-11 04:00:00,20555.416015625,20569.26953125,20492.357421875,20530.939453125,20530.939453125,64057344.0
2022-07-11 05:00:00,20527.76953125,20554.6484375,20491.18359375,20515.587890625,20515.587890625,0.0
2022-07-11 06:00:00,20510.8125,20515.548828125,20405.640625,20405.640625,20405.640625,92450816.0
2022-07-11 07:00:00,20406.267578125,20470.67578125,20395.38671875,20455.494140625,20455.494140625,0.0
2022-07-11 08:00:00,20446.953125,20524.1328125,20432.556640625,20524.1328125,20524.1328125,0.0
2022-07-11 09:00:00,20524.775390625,20587.244140625,20521.173828125,20534.900390625,20534.900390625,56068096.0
2022-07-11 10:00:00,20536.5625,20600.86328125,20536.5625,20546.52734375,20546.52734375,0.0
2022-07-11 11:00:00,20540.4375,20564.4453125,20460.876953125,20460.876953125,20460.876953125,0.0
2022-07-11 12:00:00,20465.486328125,20594.013671875,20451.498046875,20594.013671875,20594.013671875,148758528.0
2022-07-11 13:00:00,20589.228515625,20660.76171875,20357.560546875,20380.0546875,20380.0546875,349593600.0
2022-07-11 14:00:00,20374.5078125,20463.466796875,20348.501953125,20425.1640625,20425.1640625,0.0
2022-07-11 15:00:00,20419.291015625,20438.390625,20377.31640625,20430.771484375,20430.771484375,0.0
2022-07-11 16:00:00,20429.015625,20494.9921875,20418.046875,20447.28125,20447.28125,0.0
2022-07-11 17:00:00,20436.837890625,20608.234375,20419.451171875,20608.234375,20608.234375,336078848.0
2022-07-11 18:00:00,20604.91015625,20648.322265625,20564.72265625,20601.4296875,20601.4296875,222994432.0
2022-07-11 19:00:00,20582.31640625,20582.31640625,20450.150390625,20497.025390625,20497.025390625,253577216.0
2022-07-11 20:00:00,20506.734375,20537.5390625,20439.447265625,20439.447265625,20439.447265625,0.0
2022-07-11 21:00:00,20439.291015625,20439.291015625,20255.240234375,20255.240234375,20255.240234375,52123648.0
2022-07-11 22:00:00,20255.013671875,20255.013671875,20004.759765625,20037.31640625,20037.31640625,529389568.0
2022-07-11 23:00:00,20014.126953125,20019.16796875,19924.5390625,19972.052734375,19972.052734375,657203200.0
2022-07-12 00:00:00,19970.474609375,19984.693359375,19824.279296875,19824.279296875,19824.279296875,518131712.0
2022-07-12 01:00:00,19831.76171875,19927.724609375,19823.5625,19881.712890625,19881.712890625,60254208.0
2022-07-12 02:00:00,19887.93359375,19964.375,19887.93359375,19959.220703125,19959.220703125,0.0
2022-07-12 03:00:00,19958.419921875,19961.419921875,19896.44921875,19924.44140625,19924.44140625,0.0
2022-07-12 04:00:00,19926.265625,20013.30078125,19926.265625,19999.400390625,19999.400390625,0.0
2022-07-12 05:00:00,20001.71875,20043.4453125,19985.91015625,19998.486328125,19998.486328125,0.0
2022-07-12 06:00:00,19987.55078125,19987.55078125,19847.51171875,19847.51171875,19847.51171875,127885312.0
2022-07-12 07:00:00,19847.298828125,19848.22265625,19672.306640625,19724.48828125,19724.48828125,1164582912.0
2022-07-12 08:00:00,19726.603515625,19786.197265625,19715.291015625,19770.775390625,19770.775390625,0.0
2022-07-12 09:00:00,19771.333984375,19786.8125,19613.9453125,19632.173828125,19632.173828125,1341581312.0
2022-07-12 10:00:00,19613.716796875,19694.3984375,19613.716796875,19627.337890625,19627.337890625,256907264.0
2022-07-12 11:00:00,19625.041015625,19793.009765625,19616.3984375,19772.703125,19772.703125,684027904.0
2022-07-12 12:00:00,19770.232421875,19903.66796875,19770.232421875,19869.0390625,19869.0390625,446443520.0
2022-07-12 13:00:00,19864.953125,19942.33984375,19852.97265625,19852.97265625,19852.97265625,0.0
2022-07-12 14:00:00,19794.82421875,19899.388671875,19756.54296875,19899.388671875,19899.388671875,319045632.0
2022-07-12 15:00:00,19900.9296875,19953.828125,19870.9453125,19871.458984375,19871.458984375,262610944.0
